Sexo;Comunidades;Edad;Periodo;Total
Ambos sexos;02 AragÛn;Total;2018T2;9,97
Ambos sexos;02 AragÛn;Total;2018T1;11,58
Ambos sexos;02 AragÛn;Total;2017T4;11,37
Ambos sexos;02 AragÛn;Total;2017T3;10,5
Ambos sexos;02 AragÛn;Total;2017T2;11,39
Ambos sexos;02 AragÛn;Total;2017T1;13,32
Ambos sexos;02 AragÛn;Total;2016T4;13,53
Ambos sexos;02 AragÛn;Total;2016T3;14,88
Ambos sexos;02 AragÛn;Total;2016T2;15,27
Ambos sexos;02 AragÛn;Total;2016T1;15,28
Ambos sexos;02 AragÛn;Total;2015T4;14,6
Ambos sexos;02 AragÛn;Total;2015T3;14,97
Ambos sexos;02 AragÛn;Total;2015T2;17
Ambos sexos;02 AragÛn;Total;2015T1;18,59
Ambos sexos;02 AragÛn;Total;2014T4;18,65
Ambos sexos;02 AragÛn;Total;2014T3;18,36
Ambos sexos;02 AragÛn;Total;2014T2;20,83
Ambos sexos;02 AragÛn;Total;2014T1;22,85
Ambos sexos;02 AragÛn;Total;2013T4;20,59
Ambos sexos;02 AragÛn;Total;2013T3;20,38
Ambos sexos;02 AragÛn;Total;2013T2;22,04
Ambos sexos;02 AragÛn;Total;2013T1;22,52
Ambos sexos;02 AragÛn;Total;2012T4;18,72
Ambos sexos;02 AragÛn;Total;2012T3;18,83
Ambos sexos;02 AragÛn;Total;2012T2;18,74
Ambos sexos;02 AragÛn;Total;2012T1;18,37
Ambos sexos;02 AragÛn;Total;2011T4;16,8
Ambos sexos;02 AragÛn;Total;2011T3;15,96
Ambos sexos;02 AragÛn;Total;2011T2;17,51
Ambos sexos;02 AragÛn;Total;2011T1;18,04
Ambos sexos;02 AragÛn;Total;2010T4;16,29
Ambos sexos;02 AragÛn;Total;2010T3;13,77
Ambos sexos;02 AragÛn;Total;2010T2;14,52
Ambos sexos;02 AragÛn;Total;2010T1;15,24
Ambos sexos;02 AragÛn;Total;2009T4;13,57
Ambos sexos;02 AragÛn;Total;2009T3;12,15
Ambos sexos;02 AragÛn;Total;2009T2;13,18
Ambos sexos;02 AragÛn;Total;2009T1;13,31
Ambos sexos;03 Asturias, Principado de;Total;2020T1;14,37
Ambos sexos;03 Asturias, Principado de;Total;2019T4;13,14
Ambos sexos;03 Asturias, Principado de;Total;2019T3;14,43
Ambos sexos;03 Asturias, Principado de;Total;2019T2;14,17
Ambos sexos;03 Asturias, Principado de;Total;2019T1;15,03
Ambos sexos;03 Asturias, Principado de;Total;2018T4;12,86
Ambos sexos;03 Asturias, Principado de;Total;2018T3;13,45
Ambos sexos;03 Asturias, Principado de;Total;2018T2;13,1
Ambos sexos;03 Asturias, Principado de;Total;2018T1;15,02
Ambos sexos;03 Asturias, Principado de;Total;2017T4;14,64
Ambos sexos;03 Asturias, Principado de;Total;2017T3;12,95
Ambos sexos;03 Asturias, Principado de;Total;2017T2;13,03
Ambos sexos;03 Asturias, Principado de;Total;2017T1;14,23
Ambos sexos;03 Asturias, Principado de;Total;2016T4;14,59
Ambos sexos;03 Asturias, Principado de;Total;2016T3;17,05
Ambos sexos;03 Asturias, Principado de;Total;2016T2;19,29
Ambos sexos;03 Asturias, Principado de;Total;2016T1;19,5
Ambos sexos;03 Asturias, Principado de;Total;2015T4;20,33
Ambos sexos;03 Asturias, Principado de;Total;2015T3;16,97
Ambos sexos;03 Asturias, Principado de;Total;2015T2;20,15
Ambos sexos;03 Asturias, Principado de;Total;2015T1;18,99
Ambos sexos;03 Asturias, Principado de;Total;2014T4;20,78
Ambos sexos;03 Asturias, Principado de;Total;2014T3;19,96
Ambos sexos;03 Asturias, Principado de;Total;2014T2;21,02
Ambos sexos;03 Asturias, Principado de;Total;2014T1;22,75
Ambos sexos;03 Asturias, Principado de;Total;2013T4;22,29
Ambos sexos;03 Asturias, Principado de;Total;2013T3;24,15
Ambos sexos;03 Asturias, Principado de;Total;2013T2;24,56
Ambos sexos;03 Asturias, Principado de;Total;2013T1;25,51
Ambos sexos;03 Asturias, Principado de;Total;2012T4;23,82
Ambos sexos;03 Asturias, Principado de;Total;2012T3;21,83
Ambos sexos;03 Asturias, Principado de;Total;2012T2;21,12
Ambos sexos;03 Asturias, Principado de;Total;2012T1;20,52
Ambos sexos;03 Asturias, Principado de;Total;2011T4;18,84
Ambos sexos;03 Asturias, Principado de;Total;2011T3;17,19
Ambos sexos;03 Asturias, Principado de;Total;2011T2;17,17
Ambos sexos;03 Asturias, Principado de;Total;2011T1;18,16
Ambos sexos;03 Asturias, Principado de;Total;2010T4;16,61
Ambos sexos;03 Asturias, Principado de;Total;2010T3;14,1
Ambos sexos;03 Asturias, Principado de;Total;2010T2;16,35
Ambos sexos;03 Asturias, Principado de;Total;2010T1;16,6
Ambos sexos;03 Asturias, Principado de;Total;2009T4;14,13
Ambos sexos;03 Asturias, Principado de;Total;2009T3;13,54
Ambos sexos;03 Asturias, Principado de;Total;2009T2;13,94
Ambos sexos;03 Asturias, Principado de;Total;2009T1;12,07
Ambos sexos;04 Balears, Illes;Total;2020T1;18,2
